appid,name,developer,publisher,score_rank,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,ccu,genre,currency,final,categories 1,categories 2,positive_ratio,ratings,owners_average,MutualPlayerCount
320310,World Truck Racing,Homa Design,SIG Publishing,,41,90,"20,000 .. 50,000",0,0,0,0,0,Racing,USD,4.99,Single-player, Partial Controller Support,0.312977099,0.776724654,35000,3
340450,Crashed Lander,Don Whitaker,Brain Blinks,,41,12,"0 .. 20,000",194,0,194,0,0,Indie,USD,4.99,Single-player, VR Supported,0.773584906,0.77878076,10000,7
342530,Heroes Never Lose: Professor Puzzler's Perplexing Ploy,Magic Pants,Spearhead,,64,10,"0 .. 20,000",0,0,0,0,0,"Action, Casual, Indie, Early Access",USD,8.99,Single-player, Multi-player,0.864864865,0.779006136,10000,13
342570,HIS (Heroes In the Sky),GameUS Inc.,GameUS Inc.,,211,331,"200,000 .. 500,000",0,0,0,0,0,Indie,,0,Multi-player,,0.389298893,0.771742666,350000,7
345280,Lost in a Forest,Konsordo,Konsordo,,44,45,"0 .. 20,000",0,0,0,0,0,"Action, Adventure, Indie",USD,1.99,Single-player, Steam Trading Cards,0.494382022,0.777932126,10000,6
347820,Street Arena,Blossom Games,Glob Games Studio,,35,37,"20,000 .. 50,000",0,0,0,0,0,"Action, Indie, Racing",USD,6.99,Multi-player, Cross-Platform Multiplayer,0.486111111,0.778075416,35000,3
348430,Quell Reflect,Fallen Tree Games Ltd,Green Man Gaming Publishing,,162,9,"20,000 .. 50,000",70,0,70,0,0,Indie,USD,3.99,Single-player, Steam Achievements,0.947368421,0.779764541,35000,6
365620,WarBirds - World War II Combat Aviation,iEntertainment Network Inc,iEntertainment Network Inc,,32,32,"0 .. 20,000",0,0,0,0,0,"Action, Adventure, Massively Multiplayer, Simulation",USD,14.99,Single-player, Multi-player,0.5,0.778184811,10000,3
366040,Iggy's Egg Adventure,Ginger Labs LLC,Ginger Labs LLC,,222,30,"20,000 .. 50,000",0,0,0,0,0,"Action, Adventure, Indie",,0,Single-player, Steam Achievements,0.880952381,0.779657986,35000,23
369030,Vinyl,Manipulation Machine,Manipulation Machine,,173,121,"50,000 .. 100,000",0,0,0,0,0,"Action, Casual, Free to Play, Indie",,0,Single-player, Steam Achievements,0.588435374,0.776906226,75000,7
381090,Ted by Dawn,Proteus Pixel,Proteus Pixel,,26,24,"0 .. 20,000",0,0,0,0,0,"Action, Adventure, Indie",,0,Single-player, Multi-player,0.52,0.778350939,10000,2
381900,Bard's Gold,Pixel Lantern,Pixel Lantern,,104,28,"0 .. 20,000",0,0,0,0,1,Indie,USD,7.99,Single-player, Steam Achievements,0.787878788,0.778830729,10000,10
